id,insta_follower,tiktok,youtube,price_normalized
INF1,868194,969648,616323,0.643694581
INF2,362656,122314,693275,0.572600563
INF3,209193,828402,76364,0.441951147
INF4,628052,265953,529438,0.445078491
INF5,271472,531116,951829,0.590742553
INF6,468931,992746,759323,0.096015858
INF7,630179,47010,494329,0.609015208
INF8,514512,878850,989572,0.807540468
INF9,531838,42558,899504,0.05704864
INF10,891791,944028,781561,0.991439856
INF11,663018,834672,976716,0.553400797
INF12,248489,620197,447944,0.885543969
INF13,807930,208835,22137,0.031274273
INF14,869588,714090,621658,0.400571685
INF15,974036,206068,29056,0.824433504
INF16,784663,917603,271964,0.314132584
INF17,125535,540519,999309,0.266190771
INF18,304272,929980,499977,0.886540111
INF19,567815,27404,261827,0.259091081
INF20,490329,482046,789551,0.983441004
INF21,509418,556670,883773,0.853741106
INF22,273869,61152,376135,0.660539507
INF23,194197,833457,174866,0.154344103
INF24,922733,230229,535071,0.014057319
INF25,629079,706002,588060,0.753150994
INF26,686797,865470,942646,0.685808895
INF27,198767,595441,15863,0.559065435
INF28,85531,165580,486033,0.383303331
INF29,263914,76123,241275,0.015528617
INF30,394111,708548,511971,0.923145063
INF31,46373,345891,647879,0.753654291
INF32,159515,575563,583810,0.810861924
INF33,598423,193591,845086,0.168117881
INF34,758139,34360,605436,0.053429067
INF35,102999,188417,24401,0.970872237
INF36,982159,7214,724814,0.474094233
INF37,641490,376762,568958,0.722347237
INF38,425462,681356,815713,0.115185179
INF39,893233,921956,882120,0.677989797
INF40,935141,964309,6885,0.616554088
INF41,149232,824780,481937,0.052042376
INF42,652862,793888,32966,0.62898023
INF43,918596,723091,761337,0.288194556
INF44,124673,492093,23102,0.137620475
INF45,414485,369488,997617,0.951647855
INF46,454544,277340,902239,0.945509815
INF47,270178,624006,811923,0.998312156
INF48,390274,203244,651760,0.806833527
INF49,947748,126675,314399,0.029029127
INF50,469901,127132,164317,0.750508009
INF51,789275,325824,14664,0.560244261
INF52,841585,727504,812990,0.833433191
INF53,502242,566760,64779,0.713403086
INF54,409029,166634,80028,0.887154963
INF55,238172,701359,384103,0.185128368
INF56,283873,29389,377286,0.139763723
INF57,189711,410908,169056,0.06617178
INF58,682360,49025,232838,0.915447114
INF59,867731,691722,367176,0.452076217
INF60,207089,309464,587149,0.836621848
INF61,489679,530498,216781,0.770910557
INF62,777028,761297,538602,0.118032674
INF63,277101,719761,200426,0.047449036
INF64,792618,60798,66134,0.079289566
INF65,701140,621990,49180,0.648488312
INF66,801957,266792,328444,0.983304904
INF67,765665,637951,177070,0.395979408
INF68,624342,913628,663772,0.694907418
INF69,17947,645459,215908,0.794274374
INF70,618175,244118,167024,0.549084542
INF71,530224,227183,959865,0.761651296
INF72,668186,939606,308153,0.715007733
INF73,779700,185392,801710,0.966612691
INF74,908477,488722,35789,0.374011314
INF75,917511,661754,712503,0.194100886
INF76,503005,206636,142396,0.221441295
INF77,662463,720843,698901,0.16922107
INF78,589306,847071,405350,0.318804652
INF79,619189,18938,615194,0.775402942
INF80,581487,419976,270816,0.719595548
INF81,352447,510614,772081,0.464899185
INF82,943640,184146,746718,0.765841454
INF83,189889,734670,591087,0.982458815
INF84,824708,803071,639252,0.589715721
INF85,178554,123882,574053,0.933906327
INF86,32609,350795,995920,0.383038648
INF87,414160,298130,359401,0.621803479
INF88,756006,270589,565884,0.035304886
INF89,514711,13498,122674,0.347595546
INF90,885773,778536,570365,0.046817475
INF91,225782,705480,716357,0.716501013
INF92,895065,470132,827773,0.346992723
INF93,128009,414205,41201,0.566368577
INF94,331164,805515,562369,0.07896463
INF95,428560,248474,926464,0.928899128
INF96,177401,278309,218425,0.230927207
INF97,655866,683073,835657,0.890741117
INF98,190668,576575,893317,0.523495436
INF99,373465,981397,324222,0.588365146
INF100,653884,747205,894914,0.412656887
INF101,340783,740716,371856,0.595285907
INF102,93721,986766,281281,0.792162689
INF103,752940,797487,819974,0.1597273
INF104,931494,708666,5336,0.720636088
INF105,614781,643164,629960,0.657446537
INF106,113024,843142,67206,0.641043847
INF107,167196,410006,857411,0.03599674
INF108,272216,680429,420913,0.377899077
INF109,727119,415766,795729,0.256692369
INF110,847651,104328,192334,0.105678951
INF111,679494,645057,364163,0.868047286
INF112,555779,963807,775509,0.28611342
INF113,616699,196071,187187,0.964210809
INF114,819865,885054,746147,0.718519776
INF115,679691,485483,770937,0.254281498
INF116,961880,389431,331141,0.673136772
INF117,328370,422389,60947,0.669310133
INF118,335926,691772,849860,0.05999052
INF119,421742,781432,780807,0.504913156
INF120,358626,355547,552769,0.59336553
INF121,956307,280546,502198,0.19593247
INF122,396315,65484,873387,0.453249157
INF123,299385,351591,476585,0.368347886
INF124,216102,588356,893675,0.419577514
INF125,675773,839352,524206,0.251153386
INF126,563046,844969,359691,0.402777511
INF127,606887,99619,692556,0.061245178
INF128,141274,188160,447748,0.645635507
INF129,652772,413362,291136,0.817270517
INF130,105135,31943,317573,0.198217308
INF131,654520,190992,31454,0.679196518
INF132,844920,368327,933241,0.031331703
INF133,855439,381793,924119,0.350060758
INF134,215775,90999,998196,0.957408613
INF135,447366,812224,670181,0.081556123
INF136,802794,618555,769809,0.363818048
INF137,527516,444717,650679,0.178012053
INF138,590403,687700,628025,0.266375827
INF139,807039,959368,312549,0.641812255
INF140,629978,777499,693166,0.8844809
INF141,810837,520224,96043,0.310811945
INF142,97609,589827,19382,0.489045994
INF143,727115,799732,794278,0.833988416
INF144,701135,950475,851179,0.735782788
INF145,468470,746762,507254,0.460102263
INF146,856718,617549,527402,0.765772383
INF147,916336,623874,740458,0.485915723
INF148,388367,71814,69977,0.619507987
INF149,779026,953639,271651,0.451485222
INF150,664834,560128,260980,0.697276438
INF151,59045,66275,354914,0.671818859
INF152,776413,316356,408429,0.226012836
INF153,813596,683493,508016,0.363993373
INF154,152350,975810,965153,0.719409389
INF155,965864,262457,808116,0.639510046
INF156,756141,622631,130292,0.89349545
INF157,941902,353513,847482,0.671711871
INF158,881090,973673,713357,0.214174281
INF159,11280,919868,97766,0.871586551
INF160,823571,929505,515431,0.386964248
INF161,107433,439298,386318,0.381968601
INF162,145692,141439,936144,0.473738124
INF163,314603,761520,967678,0.365379246
INF164,83155,904343,132633,0.648497793
INF165,642737,608458,647783,0.665483781
INF166,884321,995659,172199,0.73670302
INF167,88631,667136,702236,0.483000888
INF168,426553,402203,518946,0.863553254
INF169,657441,576407,979467,0.756097582
INF170,53420,558169,377853,0.649694102
INF171,100439,978479,669520,0.27069469
INF172,103870,18146,453820,0.212494756
INF173,751259,100283,63874,0.961170671
INF174,252997,725360,532826,0.672361261
INF175,656852,761577,390078,0.975785366
INF176,387140,710416,424978,0.232176697
INF177,697883,912510,413517,0.468479276
INF178,535762,622532,812526,0.140180437
INF179,811422,516715,560369,0.599885593
INF180,401747,625088,156570,0.799331171
INF181,61551,635246,677312,0.261402865
INF182,839515,160510,517024,0.926979838
INF183,274184,817339,788051,0.718613906
INF184,730580,878711,605030,0.365673026
INF185,26055,558826,114877,0.86142887
INF186,551237,507691,625666,0.907904995
INF187,537964,549442,160597,0.470929868
INF188,781894,394525,95951,0.224049953
INF189,760028,115247,223117,0.805476156
INF190,479643,489800,752307,0.713575792
INF191,39694,929541,537099,0.575295462
INF192,583152,468056,880412,0.265628896
INF193,408587,211872,701477,0.735264511
INF194,496296,263948,49282,0.587477959
INF195,663964,361987,517681,0.465221842
INF196,39594,171165,799323,0.900024443
INF197,401761,54739,918341,0.726934825
INF198,987932,122870,536481,0.51116993
INF199,924945,135165,213594,0.1533636
INF200,485817,362124,295731,0.553438638
INF201,232595,73201,923284,0.021350727
INF202,304212,657829,291253,0.145675877
INF203,107885,479037,665848,0.231172661
INF204,777358,540795,539417,0.434296184
INF205,870414,526116,626213,0.628989205
INF206,313948,28206,733413,0.55247392
INF207,224485,13516,545143,0.49022703
INF208,985082,544741,137719,0.061522158
INF209,57472,964379,122919,0.378054173
INF210,350642,528631,425209,0.103778371
INF211,309802,584328,874921,0.011699983
INF212,292130,555860,265191,0.38752472
INF213,306054,185340,319167,0.850423825
INF214,735259,330318,602883,0.469353268
INF215,481701,762281,56475,0.212037492
INF216,555220,786126,56520,0.216107942
INF217,116042,517463,952144,0.307268386
INF218,314238,626331,884338,0.075883954
INF219,581428,609314,24388,0.255763101
INF220,591320,679028,392087,0.014955279
INF221,966111,354591,796979,0.144652737
INF222,472014,246592,520422,0.9749724
INF223,671529,242181,521942,0.450431028
INF224,139003,444561,303589,0.15298712
INF225,942878,474252,364974,0.639163505
INF226,353697,239731,739476,0.627110973
INF227,537137,668327,583698,0.724099586
INF228,129259,299872,598362,0.054810829
INF229,497736,435678,709309,0.744577899
INF230,101062,745215,880023,0.711528294
INF231,426544,756270,962114,0.052299199
INF232,927064,811139,441348,0.757645071
INF233,628528,540559,981210,0.482817508
INF234,247646,64753,94902,0.705590311
INF235,677011,746745,68803,0.74932
INF236,820758,348835,79093,0.880514764
INF237,84844,65000,212894,0.035907077
INF238,616457,590547,669603,0.642478421
INF239,533956,690852,15027,0.86774632
INF240,173041,726203,68723,0.071176699
INF241,375437,306798,463115,0.990384865
INF242,360750,111750,260210,0.152155462
INF243,409902,301676,881971,0.560516622
INF244,393380,865577,938542,0.583150283
INF245,434093,761815,898674,0.311587501
