id,insta_follower,tiktok,youtube,price_normalized,categories
1723,200630,116775,188693,0.7235748,"['Drama', 'Romance', 'School', 'Supernatural']"
82,793665,549225,827288,0.896554951,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']"
296,114262,113731,107155,0.684795836,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
127,673572,548014,633078,0.817021986,"['Sci-Fi', 'Thriller']"
137,151266,109278,75716,0.692095615,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
1458,93351,98772,106941,0.669979989,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
405,425855,359762,432425,0.770365182,"['Action', 'Adventure', 'Shounen', 'Super Power']"
2028,80679,87037,104319,0.658476273,"['Drama', 'Military', 'Sci-Fi', 'Space']"
186,72534,83814,72343,0.659391474,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
188,81109,50614,86937,0.667030663,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
8,456749,318174,590608,0.768428954,"['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']"
6306,102733,56894,129838,0.666880365,"['Drama', 'School', 'Shounen']"
41,336376,206323,359292,0.726328807,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
62,572888,553017,452630,0.844692968,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']"
293,179342,214726,120459,0.679145156,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
19,466254,537387,439605,0.780431373,"['Adventure', 'Drama', 'Supernatural']"
977,416397,410171,227634,0.751991652,"['Drama', 'Music', 'Romance', 'School', 'Shounen']"
270,75894,93277,69076,0.644486569,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
164,226193,291729,130654,0.678551138,"['Fantasy', 'Slice of Life']"
49,715151,490652,694793,0.849293879,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']"
591,157670,149541,155622,0.662734917,"['Comedy', 'Drama', 'Shounen', 'Sports']"
569,129307,120090,136012,0.661140524,"['Action', 'Drama', 'Historical', 'Martial Arts', 'Romance', 'Samurai']"
12,486824,370727,441109,0.766452453,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']"
304,552458,490802,404069,0.788357028,"['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']"
18,339556,194858,381136,0.723351822,"['Action', 'Adventure', 'Fantasy']"
782,240297,133055,276732,0.681458144,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']"
422,205959,104164,190641,0.668036962,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']"
247,101351,83294,78776,0.644118265,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
28,300030,189682,271959,0.708724926,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
367,562962,643068,636600,0.769999189,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']"
23,268487,244348,307407,0.709008861,"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life']"
745,88995,90238,90366,0.64081751,"['Comedy', 'Drama', 'Shounen', 'Sports']"
996,32266,32462,26378,0.62387509,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
158,98431,120133,95581,0.640192389,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']"
27,333186,225167,180130,0.720146807,"['Adventure', 'Drama', 'Fantasy', 'Romance']"
865,340973,363834,301540,0.708337377,"['Action', 'Fantasy', 'Supernatural', 'Thriller']"
5586,34347,21253,40683,0.619026143,"['Action', 'Mystery', 'Supernatural', 'Vampire']"
384,247562,219928,188773,0.69606315,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']"
165,133620,105024,155179,0.65322958,"['Comedy', 'Drama', 'Romance', 'Shounen']"
6,1013917,738793,1188454,0.885963297,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']"
2923,16947,16067,20786,0.613444149,"['Comedy', 'Parody']"
1441,176475,97835,99134,0.655675886,"['Action', 'Comedy', 'School', 'Shounen']"
229,284498,159483,243213,0.69290218,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
956,66756,41333,64014,0.628139939,"['Comedy', 'Drama', 'Shounen', 'Sports']"
724,111074,104933,114342,0.639783492,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Thriller']"
145,102322,102319,98364,0.6362491,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']"
972,97187,62232,62860,0.633333737,"['Psychological', 'Seinen', 'Sports']"
240,49036,36451,50627,0.620147488,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
1320,402381,290394,332740,0.702465895,"['Mystery', 'Psychological', 'Seinen', 'Supernatural']"
792,122531,74419,78504,0.637390662,"['Mystery', 'Psychological', 'Romance']"
2566,56162,28950,49111,0.623696381,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']"
