	anime_ids	name	genre	type	episodes	rating	members
0	1723	Kimi no Na wa.	Drama,Romance,School,Supernatural	Movie	1	9.37	200630
1	82	Fullmetal Alchemist: Brotherhood	Action,Adventure,Drama,Fantasy,Magic,Military,Shounen	TV	64	9.26	793665
2	296	Gintama°	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	TV	51	9.25	114262
3	127	Steins;Gate	Sci-Fi,Thriller	TV	24	9.17	673572
4	137	Gintama&#039;	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	TV	51	9.16	151266
5	1458	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	Comedy,Drama,School,Shounen,Sports	TV	10	9.15	93351
6	405	Hunter x Hunter (2011)	Action,Adventure,Shounen,Super Power	TV	148	9.13	425855
7	2028	Ginga Eiyuu Densetsu	Drama,Military,Sci-Fi,Space	OVA	110	9.11	80679
8	186	Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	Movie	1	9.1	72534
9	188	Gintama&#039;: Enchousen	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	TV	13	9.11	81109
10	8	Clannad: After Story	Drama,Fantasy,Romance,Slice of Life,Supernatural	TV	24	9.06	456749
11	6306	Koe no Katachi	Drama,School,Shounen	Movie	1	9.05	102733
12	41	Gintama	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	TV	201	9.04	336376
13	62	Code Geass: Hangyaku no Lelouch R2	Action,Drama,Mecha,Military,Sci-Fi,Super Power	TV	25	8.98	572888
14	293	Haikyuu!! Second Season	Comedy,Drama,School,Shounen,Sports	TV	25	8.93	179342
15	19	Sen to Chihiro no Kamikakushi	Adventure,Drama,Supernatural	Movie	1	8.93	466254
16	977	Shigatsu wa Kimi no Uso	Drama,Music,Romance,School,Shounen	TV	22	8.92	416397
17	270	Mushishi Zoku Shou 2nd Season	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural	TV	10	8.88	75894
18	164	Ookami Kodomo no Ame to Yuki	Fantasy,Slice of Life	Movie	1	8.84	226193
19	49	Code Geass: Hangyaku no Lelouch	Action,Mecha,Military,School,Sci-Fi,Super Power	TV	25	8.83	715151
20	591	Hajime no Ippo	Comedy,Drama,Shounen,Sports	TV	75	8.83	157670
21	569	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	Action,Drama,Historical,Martial Arts,Romance,Samurai	OVA	4	8.83	129307
22	12	Cowboy Bebop	Action,Adventure,Comedy,Drama,Sci-Fi,Space	TV	26	8.82	486824
23	304	One Punch Man	Action,Comedy,Parody,Sci-Fi,Seinen,Super Power,Supernatural	TV	12	8.82	552458
24	18	Mononoke Hime	Action,Adventure,Fantasy	Movie	1	8.81	339556
25	782	Suzumiya Haruhi no Shoushitsu	Comedy,Mystery,Romance,School,Sci-Fi,Supernatural	Movie	1	8.81	240297
26	422	Monogatari Series: Second Season	Comedy,Mystery,Romance,Supernatural,Vampire	TV	26	8.8	205959
27	247	Mushishi Zoku Shou	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural	TV	10	8.8	101351
28	28	Mushishi	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural	TV	26	8.78	300030
29	367	Tengen Toppa Gurren Lagann	Action,Adventure,Comedy,Mecha,Sci-Fi	TV	27	8.78	562962
30	23	Great Teacher Onizuka	Comedy,Drama,School,Shounen,Slice of Life	TV	43	8.77	268487
31	745	Hajime no Ippo: New Challenger	Comedy,Drama,Shounen,Sports	TV	26	8.75	88995
32	996	Mushishi Zoku Shou: Suzu no Shizuku	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural	Movie	1	8.75	32266
33	158	Natsume Yuujinchou Shi	Drama,Fantasy,Shoujo,Slice of Life,Supernatural	TV	13	8.75	98431
34	27	Howl no Ugoku Shiro	Adventure,Drama,Fantasy,Romance	Movie	1	8.74	333186
35	865	Fate/Zero 2nd Season	Action,Fantasy,Supernatural,Thriller	TV	12	8.73	340973
36	5586	Kizumonogatari II: Nekketsu-hen	Action,Mystery,Supernatural,Vampire	Movie	1	8.73	34347
37	384	Monster	Drama,Horror,Mystery,Police,Psychological,Seinen,Thriller	TV	74	8.72	247562
38	165	Bakuman. 3rd Season	Comedy,Drama,Romance,Shounen	TV	25	8.71	133620
39	6	Death Note	Mystery,Police,Psychological,Supernatural,Thriller	TV	37	8.71	1013917
40	2923	Gintama°: Aizome Kaori-hen	Comedy,Parody	OVA	2	8.69	16947
41	1441	Ansatsu Kyoushitsu (TV) 2nd Season	Action,Comedy,School,Shounen	TV	25	8.68	176475
42	229	Haikyuu!!	Comedy,Drama,School,Shounen,Sports	TV	25	8.68	284498
43	956	Hajime no Ippo: Rising	Comedy,Drama,Shounen,Sports	TV	25	8.68	66756
44	724	Kara no Kyoukai 5: Mujun Rasen	Action,Drama,Mystery,Romance,Supernatural,Thriller	Movie	1	8.68	111074
45	145	Natsume Yuujinchou San	Drama,Fantasy,Shoujo,Slice of Life,Supernatural	TV	13	8.67	102322
46	972	Ping Pong The Animation	Psychological,Seinen,Sports	TV	11	8.67	97187
47	240	Mushishi Special: Hihamukage	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural	Special	1	8.66	49036
48	1320	Boku dake ga Inai Machi	Mystery,Psychological,Seinen,Supernatural	TV	12	8.65	402381
49	792	Yojouhan Shinwa Taikei	Mystery,Psychological,Romance	TV	11	8.65	122531
50	2566	Aria The Origination	Fantasy,Sci-Fi,Shounen,Slice of Life	TV	13	8.64	56162
51	2910	Kamisama Hajimemashita: Kako-hen	Comedy,Demons,Fantasy,Shoujo,Supernatural	OVA	4	8.64	33422
