	Unnamed: 0	anime_ids	name	genre	type	episodes	rating	members
0	0	1723	Kimi no Na wa.	Category 8,Category 2	Movie	1	9.37	200630
1	1	82	Fullmetal Alchemist: Brotherhood	Category 4,Category 2,Category 1,Category 8,Category 6	TV	64	9.26	793665
2	2	296	Gintama°	Category 6,Category 1,Category 4,Category 5	TV	51	9.25	114262
3	3	127	Steins;Gate	Category 7,Category 6	TV	24	9.17	673572
4	4	137	Gintama&#039;	Category 6,Category 1,Category 4,Category 5	TV	51	9.16	151266
5	5	1458	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	Category 3,Category 4,Category 2,Category 5	TV	10	9.15	93351
6	6	405	Hunter x Hunter (2011)	Category 1,Category 4	TV	148	9.13	425855
7	7	2028	Ginga Eiyuu Densetsu	Category 6,Category 2	OVA	110	9.11	80679
8	8	186	Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare	Category 6,Category 1,Category 4,Category 5	Movie	1	9.1	72534
9	9	188	Gintama&#039;: Enchousen	Category 6,Category 1,Category 4,Category 5	TV	13	9.11	81109
10	10	8	Clannad: After Story	Category 8,Category 5,Category 2	TV	24	9.06	456749
11	11	6306	Koe no Katachi	Category 4,Category 2	Movie	1	9.05	102733
12	12	41	Gintama	Category 6,Category 1,Category 4,Category 5	TV	201	9.04	336376
13	13	62	Code Geass: Hangyaku no Lelouch R2	Category 6,Category 1,Category 4,Category 2	TV	25	8.98	572888
14	14	293	Haikyuu!! Second Season	Category 3,Category 4,Category 2,Category 5	TV	25	8.93	179342
15	15	19	Sen to Chihiro no Kamikakushi	Category 8,Category 4,Category 2	Movie	1	8.93	466254
16	16	977	Shigatsu wa Kimi no Uso	Category 3,Category 4,Category 2	TV	22	8.92	416397
17	17	270	Mushishi Zoku Shou 2nd Season	Category 4,Category 7,Category 1,Category 5,Category 8	TV	10	8.88	75894
18	18	164	Ookami Kodomo no Ame to Yuki	Category 8,Category 5	Movie	1	8.84	226193
19	19	49	Code Geass: Hangyaku no Lelouch	Category 1,Category 4,Category 2,Category 6	TV	25	8.83	715151
20	20	591	Hajime no Ippo	Category 3,Category 4,Category 2,Category 5	TV	75	8.83	157670
21	21	569	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	Category 1,Category 2	OVA	4	8.83	129307
22	22	12	Cowboy Bebop	Category 4,Category 2,Category 1,Category 5,Category 6	TV	26	8.82	486824
23	23	304	One Punch Man	Category 4,Category 1,Category 5,Category 8,Category 6	TV	12	8.82	552458
24	24	18	Mononoke Hime	Category 8,Category 1,Category 4	Movie	1	8.81	339556
