	anime_ids	name	genre	type	episodes	rating	members
0	1723	Kimi no Na wa.	Drama,Romance,School,Supernatural	Movie	1	9.37	200630
11	6306	Koe no Katachi	Drama,School,Shounen	Movie	1	9.05	102733
15	19	Sen to Chihiro no Kamikakushi	Adventure,Drama,Supernatural	Movie	1	8.93	466254
24	18	Mononoke Hime	Action,Adventure,Fantasy	Movie	1	8.81	339556
34	27	Howl no Ugoku Shiro	Adventure,Drama,Fantasy,Romance	Movie	1	8.74	333186
38	165	Bakuman. 3rd Season	Comedy,Drama,Romance,Shounen	TV	25	8.71	133620
41	1441	Ansatsu Kyoushitsu (TV) 2nd Season	Action,Comedy,School,Shounen	TV	25	8.68	176475
62	1316	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season	Action,Adventure,Drama,Shounen,Supernatural	TV	24	8.6	93657
68	292	Bakemono no Ko	Adventure,Supernatural	Movie	1	8.58	80825
83	139	Bakuman. 2nd Season	Comedy,Drama,Romance,Shounen	TV	25	8.53	151561
90	376	Fate/Zero	Action,Fantasy,Supernatural	TV	13	8.51	453630
106	1865	Shirobako	Comedy,Drama	TV	24	8.49	146895
109	307	Noragami Aragoto	Action,Adventure,Shounen,Supernatural	TV	13	8.48	299434
111	32	Tonari no Totoro	Adventure,Comedy,Supernatural	Movie	1	8.48	271484
113	34	Kaze no Tani no Nausicaä	Adventure,Fantasy	Movie	1	8.47	143273
124	3444	Kemono no Souja Erin	Drama,Fantasy	TV	50	8.45	36751
128	560	Toki wo Kakeru Shoujo	Adventure,Drama,Romance,Sci-Fi	Movie	1	8.44	289206
129	689	Tsubasa: Tokyo Revelations	Action,Adventure,Drama,Fantasy,Romance,Shounen	OVA	3	8.44	57963
138	719	One Piece Film: Strong World	Action,Adventure,Comedy,Drama,Fantasy,Shounen	Movie	1	8.42	85020
154	9	Angel Beats!	Action,Comedy,Drama,School,Supernatural	TV	13	8.39	717796
157	525	One Piece Film: Z	Action,Adventure,Comedy,Drama,Fantasy,Shounen	Movie	1	8.39	76051
164	31	Tenkuu no Shiro Laputa	Adventure,Fantasy,Romance,Sci-Fi	Movie	1	8.38	151061
177	1105	SKET Dance	Comedy,School,Shounen	TV	77	8.36	101027
178	115	Bakuman.	Comedy,Romance,Shounen	TV	25	8.35	246899
202	1890	Kokoro ga Sakebitagatterunda.	Drama,Romance,School	Movie	1	8.32	59652
204	200	Nagi no Asukara	Drama,Fantasy,Romance	TV	26	8.32	224947
206	5151	One Piece Film: Gold	Action,Adventure,Comedy,Drama,Fantasy,Shounen	Movie	1	8.32	18642
207	1762	Tokyo Godfathers	Comedy,Drama	Movie	1	8.32	89424
208	359	Trigun	Action,Comedy,Sci-Fi	TV	26	8.32	283069
213	981	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	Comedy,Drama,Romance,School	TV	13	8.31	222994
214	5277	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA	Comedy,Romance,School	OVA	1	8.31	35120
219	88	Summer Wars	Comedy,Sci-Fi	Movie	1	8.3	223359
237	1286	Tsumiki no Ie	Drama	Movie	1	8.27	45189
242	2374	Saint Seiya: Meiou Hades Juuni Kyuu-hen	Adventure,Sci-Fi,Shounen	OVA	13	8.26	23701
248	964	JoJo no Kimyou na Bouken: Stardust Crusaders	Action,Adventure,Drama,Shounen,Supernatural	TV	24	8.25	120089
253	261	Gekkan Shoujo Nozaki-kun	Comedy,Romance,School	TV	12	8.24	292622
286	447	Full Metal Panic? Fumoffu	Action,Comedy,School	TV	12	8.21	171086
292	1426	Ansatsu Kyoushitsu (TV)	Action,Comedy,School,Shounen	TV	22	8.2	312654
295	47	D.Gray-man	Action,Adventure,Comedy,Shounen	TV	103	8.2	334399
298	1336	Lupin III: Cagliostro no Shiro	Adventure,Comedy,Shounen	Movie	1	8.2	32732
311	397	Tokyo Magnitude 8.0	Drama	TV	11	8.19	121349
328	227	Noragami	Action,Adventure,Shounen,Supernatural	TV	12	8.17	515378
340	1321	Mirai Shounen Conan	Adventure,Drama,Sci-Fi	TV	26	8.16	15557
352	4892	Kyou kara Ore wa!!	Comedy,Shounen	OVA	10	8.15	7954
356	620	School Rumble Ni Gakki	Comedy,Romance,School,Shounen	TV	26	8.15	93095
360	4231	Ginga Nagareboshi Gin	Action,Adventure,Drama,Shounen	TV	21	8.14	10575
368	2127	Digimon Adventure tri. 3: Kokuhaku	Action,Adventure,Comedy,Drama	Movie	1	8.13	20989
370	2931	Igano Kabamaru	Adventure,Comedy,Romance,Shounen	TV	24	8.13	5063
386	2187	Noragami Aragoto OVA	Action,Adventure,Shounen	OVA	2	8.12	58075
389	504	Yahari Ore no Seishun Love Comedy wa Machigatteiru.	Comedy,Drama,Romance,School	TV	13	8.12	353876
