	anime_ids	name	genre	type	episodes	rating	members
0	1723	Kimi no Na wa.	"Drama,Romance,School,Supernatural"	Movie	"Drama,Romance,School,Supernatural"	9.37	200630
1	82	Fullmetal Alchemist: Brotherhood	"Action,Adventure,Drama,Fantasy,Shounen"	TV	"Action,Adventure,Drama,Fantasy,Shounen"	9.26	793665
2	296	Gintama°	"Action,Comedy,Sci-Fi,Shounen"	TV	"Action,Comedy,Sci-Fi,Shounen"	9.25	114262
3	127	Steins;Gate	Sci-Fi	TV	Sci-Fi	9.17	673572
4	137	Gintama&#039;	"Action,Comedy,Sci-Fi,Shounen"	TV	"Action,Comedy,Sci-Fi,Shounen"	9.16	151266
5	1458	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	"Comedy,Drama,School,Shounen"	TV	"Comedy,Drama,School,Shounen"	9.15	93351
6	405	Hunter x Hunter (2011)	"Action,Adventure,Shounen"	TV	"Action,Adventure,Shounen"	9.13	425855
7	2028	Ginga Eiyuu Densetsu	"Drama,Sci-Fi"	OVA	"Drama,Sci-Fi"	9.11	80679
8	186	Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare	"Action,Comedy,Sci-Fi,Shounen"	Movie	"Action,Comedy,Sci-Fi,Shounen"	9.1	72534
9	188	Gintama&#039;: Enchousen	"Action,Comedy,Sci-Fi,Shounen"	TV	"Action,Comedy,Sci-Fi,Shounen"	9.11	81109
10	8	Clannad: After Story	"Drama,Fantasy,Romance,Supernatural"	TV	"Drama,Fantasy,Romance,Supernatural"	9.06	456749
11	6306	Koe no Katachi	"Drama,School,Shounen"	Movie	"Drama,School,Shounen"	9.05	102733
12	41	Gintama	"Action,Comedy,Sci-Fi,Shounen"	TV	"Action,Comedy,Sci-Fi,Shounen"	9.04	336376
13	62	Code Geass: Hangyaku no Lelouch R2	"Action,Drama,Sci-Fi"	TV	"Action,Drama,Sci-Fi"	8.98	572888
14	293	Haikyuu!! Second Season	"Comedy,Drama,School,Shounen"	TV	"Comedy,Drama,School,Shounen"	8.93	179342
15	19	Sen to Chihiro no Kamikakushi	"Adventure,Drama,Supernatural"	Movie	"Adventure,Drama,Supernatural"	8.93	466254
16	977	Shigatsu wa Kimi no Uso	"Drama,Romance,School,Shounen"	TV	"Drama,Romance,School,Shounen"	8.92	416397
17	270	Mushishi Zoku Shou 2nd Season	"Adventure,Fantasy,Supernatural"	TV	"Adventure,Fantasy,Supernatural"	8.88	75894
18	164	Ookami Kodomo no Ame to Yuki	Fantasy	Movie	Fantasy	8.84	226193
19	49	Code Geass: Hangyaku no Lelouch	"Action,School,Sci-Fi"	TV	"Action,School,Sci-Fi"	8.83	715151
20	591	Hajime no Ippo	"Comedy,Drama,Shounen"	TV	"Comedy,Drama,Shounen"	8.83	157670
21	569	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	"Action,Drama,Romance"	OVA	"Action,Drama,Romance"	8.83	129307
22	12	Cowboy Bebop	"Action,Adventure,Comedy,Drama,Sci-Fi"	TV	"Action,Adventure,Comedy,Drama,Sci-Fi"	8.82	486824
23	304	One Punch Man	"Action,Comedy,Sci-Fi,Supernatural"	TV	"Action,Comedy,Sci-Fi,Supernatural"	8.82	552458
24	18	Mononoke Hime	"Action,Adventure,Fantasy"	Movie	"Action,Adventure,Fantasy"	8.81	339556
25	782	Suzumiya Haruhi no Shoushitsu	"Comedy,Romance,School,Sci-Fi,Supernatural"	Movie	"Comedy,Romance,School,Sci-Fi,Supernatural"	8.81	240297
26	422	Monogatari Series: Second Season	"Comedy,Romance,Supernatural"	TV	"Comedy,Romance,Supernatural"	8.8	205959
27	247	Mushishi Zoku Shou	"Adventure,Fantasy,Supernatural"	TV	"Adventure,Fantasy,Supernatural"	8.8	101351
28	28	Mushishi	"Adventure,Fantasy,Supernatural"	TV	"Adventure,Fantasy,Supernatural"	8.78	300030
29	367	Tengen Toppa Gurren Lagann	"Action,Adventure,Comedy,Sci-Fi"	TV	"Action,Adventure,Comedy,Sci-Fi"	8.78	562962
30	23	Great Teacher Onizuka	"Comedy,Drama,School,Shounen"	TV	"Comedy,Drama,School,Shounen"	8.77	268487
31	745	Hajime no Ippo: New Challenger	"Comedy,Drama,Shounen"	TV	"Comedy,Drama,Shounen"	8.75	88995
32	996	Mushishi Zoku Shou: Suzu no Shizuku	"Adventure,Fantasy,Supernatural"	Movie	"Adventure,Fantasy,Supernatural"	8.75	32266
33	158	Natsume Yuujinchou Shi	"Drama,Fantasy,Supernatural"	TV	"Drama,Fantasy,Supernatural"	8.75	98431
34	27	Howl no Ugoku Shiro	"Adventure,Drama,Fantasy,Romance"	Movie	"Adventure,Drama,Fantasy,Romance"	8.74	333186
35	865	Fate/Zero 2nd Season	"Action,Fantasy,Supernatural"	TV	"Action,Fantasy,Supernatural"	8.73	340973
36	5586	Kizumonogatari II: Nekketsu-hen	"Action,Supernatural"	Movie	"Action,Supernatural"	8.73	34347
37	384	Monster	Drama	TV	Drama	8.72	247562
38	165	Bakuman. 3rd Season	"Comedy,Drama,Romance,Shounen"	TV	"Comedy,Drama,Romance,Shounen"	8.71	133620
39	6	Death Note	Supernatural	TV	Supernatural	8.71	1013917
40	2923	Gintama°: Aizome Kaori-hen	Comedy	OVA	Comedy	8.69	16947
41	1441	Ansatsu Kyoushitsu (TV) 2nd Season	"Action,Comedy,School,Shounen"	TV	"Action,Comedy,School,Shounen"	8.68	176475
42	229	Haikyuu!!	"Comedy,Drama,School,Shounen"	TV	"Comedy,Drama,School,Shounen"	8.68	284498
43	956	Hajime no Ippo: Rising	"Comedy,Drama,Shounen"	TV	"Comedy,Drama,Shounen"	8.68	66756
44	724	Kara no Kyoukai 5: Mujun Rasen	"Action,Drama,Romance,Supernatural"	Movie	"Action,Drama,Romance,Supernatural"	8.68	111074
45	145	Natsume Yuujinchou San	"Drama,Fantasy,Supernatural"	TV	"Drama,Fantasy,Supernatural"	8.67	102322
47	240	Mushishi Special: Hihamukage	"Adventure,Fantasy,Supernatural"	Special	"Adventure,Fantasy,Supernatural"	8.66	49036
48	1320	Boku dake ga Inai Machi	Supernatural	TV	Supernatural	8.65	402381
49	792	Yojouhan Shinwa Taikei	Romance	TV	Romance	8.65	122531
50	2566	Aria The Origination	"Fantasy,Sci-Fi,Shounen"	TV	"Fantasy,Sci-Fi,Shounen"	8.64	56162
51	2910	Kamisama Hajimemashita: Kako-hen	"Comedy,Fantasy,Supernatural"	OVA	"Comedy,Fantasy,Supernatural"	8.64	33422
52	754	Rainbow: Nisha Rokubou no Shichinin	Drama	TV	Drama	8.64	139474
53	1541	Re:Zero kara Hajimeru Isekai Seikatsu	"Drama,Fantasy"	TV	"Drama,Fantasy"	8.64	355839
54	726	Tengen Toppa Gurren Lagann Movie: Lagann-hen	"Action,Sci-Fi"	Movie	"Action,Sci-Fi"	8.64	82253
55	84	Zoku Natsume Yuujinchou	"Drama,Fantasy,Supernatural"	TV	"Drama,Fantasy,Supernatural"	8.64	114173
56	138	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	"Drama,Supernatural"	TV	"Drama,Supernatural"	8.62	463835
57	267	Kuroko no Basket 3rd Season	"Comedy,School,Shounen"	TV	"Comedy,School,Shounen"	8.62	184525
58	1121	Steins;Gate Movie: Fuka Ryouiki no Déjà vu	Sci-Fi	Movie	Sci-Fi	8.61	192424
59	148	Hotarubi no Mori e	"Drama,Romance,Supernatural"	Movie	"Drama,Romance,Supernatural"	8.61	197439
60	287	Shokugeki no Souma	"School,Shounen"	TV	"School,Shounen"	8.61	348951
