	index	User_ID	Anime_ID	Feedback
1463	9771	97	2754	1
2964	20492	239	253	1
3572	24908	289	563	1
4371	30765	354	1551	1
4386	30880	354	1088	1
4388	30885	354	543	1
4390	30905	354	2079	1
4395	30947	354	2083	1
4410	31100	354	1963	1
4416	31137	354	921	1
4421	31159	354	2003	1
4423	31169	354	1740	1
4425	31173	354	1741	1
4426	31186	354	3796	1
4435	31259	354	1932	1
4440	31287	354	2090	1
4448	31328	354	969	1
4449	31331	354	1668	1
4452	31361	354	1981	1
4460	31403	354	1677	1
4476	31479	354	1157	1
4480	31493	354	3820	1
4481	31502	354	1435	1
4482	31505	354	3002	1
4483	31515	354	1538	1
4494	31554	354	1985	1
4496	31573	354	3245	1
4497	31588	354	2396	1
4500	31600	354	2997	1
4502	31605	354	2445	1
4509	31634	354	2399	1
4532	31765	355	1088	1
5260	36387	404	1787	1
5509	37936	417	3645	1
7343	50146	526	1165	1
11828	80163	912	2845	1
12789	86958	991	5613	1
12892	87407	992	253	1
13147	89214	1018	2142	1
13348	90627	1037	5487	1
13981	95057	1082	563	1
15019	102486	1187	88	1
15860	108311	1248	2748	1
16558	113386	1310	6034	1
16576	113473	1310	2754	1
16588	113525	1310	6052	1
17095	117370	1332	879	1
19566	134877	1533	907	1
19651	135336	1538	2038	1
19653	135340	1538	6193	1
19679	135490	1538	3548	1
19684	135539	1538	6052	1
21063	144818	1639	111	1
21718	148977	1689	359	1
21719	148978	1689	568	1
21720	148985	1689	447	1
21721	148997	1689	1461	1
21722	148999	1689	18	1
21723	149001	1689	19	1
21724	149014	1689	596	1
21725	149021	1689	2287	1
21726	149030	1689	620	1
21727	149034	1689	627	1
21728	149035	1689	628	1
21729	149036	1689	629	1
21730	149037	1689	630	1
21731	149038	1689	631	1
21732	149039	1689	632	1
21733	149040	1689	633	1
21734	149041	1689	1878	1
21735	149042	1689	1901	1
21736	149045	1689	1879	1
21737	149046	1689	1880	1
21738	149052	1689	455	1
21739	149063	1689	1054	1
21740	149093	1689	1943	1
21741	149094	1689	1787	1
21742	149095	1689	67	1
21743	149102	1689	2299	1
21744	149107	1689	4211	1
21745	149132	1689	543	1
21746	149135	1689	9	1
21747	149153	1689	115	1
21748	149180	1689	823	1
21749	149182	1689	830	1
21750	149186	1689	139	1
21751	149187	1689	376	1
21752	149196	1689	521	1
21753	149220	1689	1592	1
21754	149223	1689	165	1
21755	149251	1689	921	1
21756	149257	1689	201	1
21757	149265	1689	424	1
22351	153388	1731	4668	1
23024	158007	1784	769	1
24636	169023	1929	9	1
24843	170426	1945	5487	1
26817	184035	2108	2748	1
26849	184285	2109	632	1
26910	184552	2109	6539	1
27663	190108	2175	1509	1
30810	213001	2520	5487	1
31282	216559	2559	5136	1
35195	243768	2834	1981	1
36606	254020	3009	1090	1
37536	260567	3074	647	1
37671	261567	3082	4272	1
37679	261604	3082	647	1
37681	261621	3082	47	1
37683	261640	3082	658	1
37689	261674	3082	6835	1
37697	261718	3082	709	1
37700	261739	3082	3703	1
37707	261795	3082	543	1
37711	261836	3082	4728	1
37723	261887	3082	2054	1
