,Category,Cluster
0,Drama,2
1,Action,1
2,Sci-Fi,6
3,Comedy,5
4,Adventure,4
5,Fantasy,8
6,Mystery,7
7,Psychological,7
8,Ecchi,5
9,Josei,2
10,Military,6
11,Romance,2
12,Demons,8
13,Dementia,7
14,Music,3
15,Game,3
16,Cars,3
17,Mecha,6
18,Horror,7
19,School,2
20,Historical,1
21,Kids,4
22,Shounen,4
23,Shoujo,2
24,Magic,8
25,Harem,5
26,Martial Arts,1
27,Sports,3
28,Slice of Life,5
29,Seinen,1
30,Parody,5
31,Police,7
32,Thriller,7
33,Supernatural,8
34,Samurai,1
35,Super Power,4
36,Vampire,8
37,Shoujo Ai,10
38,Shounen Ai,9
39,Space,6
