id,insta_follower,tiktok,youtube,price_normalized,categories
INF1,868194,969648,616323,0.643694581,Music;Fashion
INF2,362656,122314,693275,0.572600563,Game;General
INF3,209193,828402,76364,0.441951147,Fashion;Music;Tech
INF4,628052,265953,529438,0.445078491,Game;Music;Tech;Sport
INF5,271472,531116,951829,0.590742553,General;Fashion;Music;Pop Culture;Game;Sport
INF6,468931,992746,759323,0.096015858,Game
INF7,630179,47010,494329,0.609015208,Fashion;General;Game;Sport;Tech
INF8,514512,878850,989572,0.807540468,Tech;Game
INF9,531838,42558,899504,0.05704864,Music;Sport;Fashion;Pop Culture;Game;General;Tech
INF10,891791,944028,781561,0.991439856,General;Tech;Fashion;Game;Sport
INF11,663018,834672,976716,0.553400797,Pop Culture;Game;Music;Tech;Fashion;General
INF12,248489,620197,447944,0.885543969,Fashion;Game;Tech;Sport;Music;General
INF13,807930,208835,22137,0.031274273,Sport;General
INF14,869588,714090,621658,0.400571685,Sport;Pop Culture
INF15,974036,206068,29056,0.824433504,Game
INF16,784663,917603,271964,0.314132584,Tech;Game;Sport;Fashion;Pop Culture
INF17,125535,540519,999309,0.266190771,Pop Culture;Game;Sport;Music;Fashion;Tech;General
INF18,304272,929980,499977,0.886540111,General;Sport;Game;Fashion;Tech
INF19,567815,27404,261827,0.259091081,General;Music;Tech
INF20,490329,482046,789551,0.983441004,General;Tech;Game;Music
INF21,509418,556670,883773,0.853741106,Pop Culture;Music;Tech
INF22,273869,61152,376135,0.660539507,Game;Pop Culture;Tech;Sport;Music;General
INF23,194197,833457,174866,0.154344103,Sport;Fashion;Game
INF24,922733,230229,535071,0.014057319,General;Sport;Pop Culture;Fashion;Music;Tech;Game
INF25,629079,706002,588060,0.753150994,Fashion;Pop Culture;Music;Game;Tech;General;Sport
INF26,686797,865470,942646,0.685808895,Music;Tech;General;Pop Culture
INF27,198767,595441,15863,0.559065435,Tech;Fashion;Pop Culture
INF28,85531,165580,486033,0.383303331,Game
INF29,263914,76123,241275,0.015528617,Pop Culture;Sport;Music;Game;General
INF30,394111,708548,511971,0.923145063,Sport;Game
INF31,46373,345891,647879,0.753654291,Music;Fashion
INF32,159515,575563,583810,0.810861924,General;Pop Culture;Tech
INF33,598423,193591,845086,0.168117881,Tech;Game
INF34,758139,34360,605436,0.053429067,Tech;General;Music
INF35,102999,188417,24401,0.970872237,Pop Culture;Game;Music
INF36,982159,7214,724814,0.474094233,Fashion;Pop Culture;Sport
INF37,641490,376762,568958,0.722347237,Music;Sport;General;Tech;Game
INF38,425462,681356,815713,0.115185179,Pop Culture
INF39,893233,921956,882120,0.677989797,Sport;Fashion;Music;General
INF40,935141,964309,6885,0.616554088,Pop Culture;Game
INF41,149232,824780,481937,0.052042376,Game;Tech;Sport
INF42,652862,793888,32966,0.62898023,Pop Culture;Tech;General;Music;Game;Fashion
INF43,918596,723091,761337,0.288194556,Pop Culture;Tech;Sport;Game;Fashion;Music;General
INF44,124673,492093,23102,0.137620475,Game;Pop Culture;Sport;Fashion;Music
INF45,414485,369488,997617,0.951647855,General;Fashion;Tech;Sport;Pop Culture;Game
INF46,454544,277340,902239,0.945509815,Music;Pop Culture;Tech;General;Fashion
INF47,270178,624006,811923,0.998312156,Music;Fashion;Pop Culture
INF48,390274,203244,651760,0.806833527,General;Pop Culture;Music;Sport;Tech;Fashion;Game
INF49,947748,126675,314399,0.029029127,Tech;Fashion
INF50,469901,127132,164317,0.750508009,General;Game;Music;Sport;Fashion;Tech
INF51,789275,325824,14664,0.560244261,General;Game;Pop Culture;Tech;Music;Sport
INF52,841585,727504,812990,0.833433191,Music;Tech;General
INF53,502242,566760,64779,0.713403086,General;Game;Fashion;Sport
INF54,409029,166634,80028,0.887154963,General;Pop Culture;Game;Tech;Music;Fashion;Sport
INF55,238172,701359,384103,0.185128368,General;Pop Culture;Tech;Fashion;Sport;Game;Music
INF56,283873,29389,377286,0.139763723,Pop Culture;General;Fashion
INF57,189711,410908,169056,0.06617178,Sport;Fashion;Game;Music;Pop Culture
INF58,682360,49025,232838,0.915447114,Tech;Game;Fashion;Music
INF59,867731,691722,367176,0.452076217,Fashion;Game
INF60,207089,309464,587149,0.836621848,Tech;Sport
INF61,489679,530498,216781,0.770910557,Music;General;Pop Culture;Fashion;Sport;Tech
INF62,777028,761297,538602,0.118032674,Sport;Fashion;Music;Pop Culture;General;Game
INF63,277101,719761,200426,0.047449036,Music;Pop Culture;Game;Fashion;General;Sport;Tech
INF64,792618,60798,66134,0.079289566,Pop Culture;Sport;Game;Fashion;Tech
INF65,701140,621990,49180,0.648488312,Game;Sport;Music;Tech
INF66,801957,266792,328444,0.983304904,Pop Culture;Game;Tech;General;Fashion;Music;Sport
INF67,765665,637951,177070,0.395979408,General;Fashion;Tech;Pop Culture
INF68,624342,913628,663772,0.694907418,Game;Fashion
INF69,17947,645459,215908,0.794274374,General;Pop Culture;Fashion;Music
INF70,618175,244118,167024,0.549084542,Fashion;Tech;Pop Culture
INF71,530224,227183,959865,0.761651296,Pop Culture;Game;General;Fashion;Tech;Sport;Music
INF72,668186,939606,308153,0.715007733,Tech
INF73,779700,185392,801710,0.966612691,General;Pop Culture;Tech;Sport;Music;Game;Fashion
INF74,908477,488722,35789,0.374011314,Fashion;General;Music;Pop Culture;Sport;Tech
INF75,917511,661754,712503,0.194100886,Fashion;Pop Culture;Tech
INF76,503005,206636,142396,0.221441295,General
INF77,662463,720843,698901,0.16922107,Music;Pop Culture;Fashion;Tech;Sport;General;Game
INF78,589306,847071,405350,0.318804652,Tech;Music
INF79,619189,18938,615194,0.775402942,General
INF80,581487,419976,270816,0.719595548,Tech;Pop Culture;Game;Sport;General
INF81,352447,510614,772081,0.464899185,Game;Fashion;General;Sport
INF82,943640,184146,746718,0.765841454,Game;Fashion;Tech;Pop Culture;Music;General
INF83,189889,734670,591087,0.982458815,Music;Tech;Game
INF84,824708,803071,639252,0.589715721,Music;General;Pop Culture;Game;Sport
INF85,178554,123882,574053,0.933906327,Tech;Music
INF86,32609,350795,995920,0.383038648,Tech;General;Fashion;Sport;Music;Game
INF87,414160,298130,359401,0.621803479,Pop Culture;Fashion;Game;General;Sport;Music
INF88,756006,270589,565884,0.035304886,Fashion;Sport;Music;Tech;Game;General
INF89,514711,13498,122674,0.347595546,Music;Sport;Game;Pop Culture
INF90,885773,778536,570365,0.046817475,General;Sport;Tech;Pop Culture;Music;Game
INF91,225782,705480,716357,0.716501013,Fashion;Sport
INF92,895065,470132,827773,0.346992723,Sport;Pop Culture;Tech;General;Fashion;Music
INF93,128009,414205,41201,0.566368577,Fashion;Sport;Tech;Game;General;Music;Pop Culture
INF94,331164,805515,562369,0.07896463,Tech
INF95,428560,248474,926464,0.928899128,Tech
INF96,177401,278309,218425,0.230927207,Music;Tech
INF97,655866,683073,835657,0.890741117,Fashion;General;Sport;Tech;Game;Pop Culture;Music
INF98,190668,576575,893317,0.523495436,Tech
INF99,373465,981397,324222,0.588365146,Pop Culture;Fashion;General;Tech;Music;Sport;Game
INF100,653884,747205,894914,0.412656887,Pop Culture;Music
INF101,340783,740716,371856,0.595285907,Music;Game;Tech;General;Fashion
INF102,93721,986766,281281,0.792162689,General;Game;Music;Sport
INF103,752940,797487,819974,0.1597273,Game;Pop Culture;Sport;Music;Fashion;General
