own_id,inf_id,star_rating,sentiment_rating
OWN1735,INF341,5,0.921057708
OWN275,INF1253,2,0.001400005
OWN1430,INF1423,4,0.7029127
OWN176,INF580,2,0.398565105
OWN1005,INF1495,3,0.122339206
OWN1679,INF1213,5,0.036389211
OWN139,INF252,5,0.844394924
OWN779,INF680,2,0.441717606
OWN1660,INF340,2,0.582855199
OWN1272,INF606,2,0.993784911
OWN1113,INF1718,5,0.695625929
OWN424,INF1446,2,0.924351074
OWN22,INF351,5,0.131436313
OWN502,INF615,5,0.572122527
OWN103,INF8,3,0.889787429
OWN1157,INF114,3,0.057762104
OWN507,INF1705,1,0.69397829
OWN1529,INF932,1,0.904346607
OWN1153,INF574,5,0.125680094
OWN939,INF658,4,0.277273849
OWN1701,INF1128,5,0.936207767
OWN1266,INF914,5,0.216141834
OWN1429,INF346,2,0.807197744
OWN1205,INF483,3,0.128434655
OWN1195,INF243,2,0.170319326
OWN402,INF82,3,0.700993032
OWN1744,INF346,2,0.266023776
OWN1584,INF402,3,0.440883741
OWN1656,INF765,5,0.894898835
OWN656,INF770,5,0.103704315
OWN1208,INF587,1,0.027297603
OWN305,INF770,1,0.016477472
OWN1462,INF1670,5,0.838525378
OWN1362,INF1539,3,0.6066457
OWN1206,INF1041,5,0.844599465
OWN1729,INF1333,5,0.551432744
OWN401,INF1407,5,0.659669616
OWN1342,INF714,5,0.746785373
OWN115,INF1248,4,0.77845421
OWN255,INF835,4,0.53665902
OWN784,INF1177,2,0.518984102
OWN1552,INF978,3,0.256604539
OWN1052,INF1529,4,0.421656319
OWN444,INF628,1,0.436114097
OWN262,INF1422,3,0.584806686
OWN774,INF986,3,0.918280578
OWN1405,INF27,3,0.485069349
OWN757,INF550,4,0.529932731
OWN548,INF952,4,0.158675303
OWN316,INF1537,3,0.748063745
OWN1679,INF231,2,0.349155106
OWN197,INF1514,1,0.427241727
OWN1515,INF1660,3,0.514878717
OWN111,INF581,2,0.086561668
OWN735,INF2,2,0.859339257
OWN1454,INF879,2,0.402988654
OWN568,INF634,1,0.736544525
OWN1368,INF226,4,0.460684458
OWN1736,INF1170,4,0.597421614
OWN1429,INF113,4,0.393775752
OWN1067,INF1596,4,0.800492101
OWN1047,INF1097,3,0.404292888
OWN1598,INF331,2,0.096590831
OWN1673,INF1659,1,0.699604581
OWN859,INF76,5,0.914054889
OWN1693,INF1264,3,0.777131053
OWN353,INF1247,4,0.984204985
OWN886,INF118,4,0.181600693
OWN1002,INF1649,3,0.639302966
OWN1723,INF1500,5,0.505413617
OWN208,INF1077,3,0.834350938
OWN228,INF223,4,0.020202628
OWN105,INF486,4,0.653573299
OWN81,INF1460,3,0.082477113
OWN27,INF1384,4,0.591296984
OWN1664,INF557,3,0.903962086
OWN766,INF1563,3,0.089941757
OWN1609,INF845,5,0.614194022
OWN592,INF513,2,0.785304841
OWN1680,INF855,1,0.856017725
OWN629,INF1203,5,0.277247481
OWN1371,INF754,2,0.671386981
OWN1298,INF364,5,0.403868593
OWN369,INF862,3,0.773468168
OWN908,INF1278,3,0.356506695
OWN558,INF1340,2,0.720269561
OWN1060,INF1308,3,0.204299944
OWN52,INF684,2,0.154284028
OWN1443,INF578,3,0.689029903
OWN26,INF40,1,0.44197978
OWN450,INF559,3,0.457680153
OWN1463,INF1668,3,0.417062894
OWN216,INF456,2,0.191282335
OWN1016,INF999,4,0.823560618
OWN1149,INF1253,4,0.5995514
OWN1044,INF530,4,0.680845743
OWN840,INF895,1,0.732505012
OWN635,INF867,1,0.505281582
OWN180,INF1412,1,0.029321211
OWN1792,INF1660,4,0.865376091
OWN731,INF406,4,0.513339427
OWN1295,INF1442,4,0.502984014
OWN1573,INF158,2,0.348205396
OWN884,INF49,3,0.496598654
OWN1761,INF1633,3,0.907175893
OWN754,INF509,3,0.08917231
OWN576,INF7,5,0.654636542
OWN1647,INF225,4,0.65785754
OWN1575,INF67,3,0.590672379
OWN507,INF1277,2,0.312861825
OWN590,INF1274,2,0.126416706
OWN1678,INF1490,4,0.114168112
OWN1062,INF1587,1,0.915866536
OWN1713,INF1458,3,0.36573351
OWN939,INF577,2,0.010494282
OWN579,INF1784,3,0.755100971
OWN557,INF1480,3,0.383530716
OWN415,INF1490,1,0.760934582
OWN1406,INF344,5,0.314096758
OWN208,INF227,5,0.151230481
OWN1610,INF432,2,0.765896374
OWN598,INF1077,3,0.080903199
OWN420,INF1206,5,0.945052777
OWN1163,INF176,5,0.199764138
OWN1524,INF1147,1,0.896600378
OWN591,INF1367,4,0.871884479
OWN902,INF660,5,0.784488144
OWN481,INF1618,3,0.546883575
OWN582,INF1448,5,0.396682719
OWN1251,INF1064,3,0.115344123
OWN212,INF1691,4,0.191682121
OWN1346,INF795,3,0.717491404
OWN719,INF1528,4,0.63769155
OWN1693,INF1515,1,0.590275153
OWN272,INF1539,4,0.738722214
OWN406,INF232,3,0.65747292
OWN933,INF1468,2,0.056427893
OWN192,INF1568,2,0.355431732
OWN1544,INF1716,1,0.551696634
OWN1253,INF627,1,0.699245076
OWN1183,INF275,3,0.5305891
OWN1626,INF551,4,0.526814307
OWN1591,INF1283,1,0.495515733
OWN221,INF1323,4,0.79827968
OWN312,INF1172,2,0.900546898
OWN531,INF796,2,0.503267811
OWN1335,INF158,1,0.581054869
OWN599,INF897,2,0.256451567
OWN691,INF1292,4,0.879721695
OWN281,INF1157,2,0.801845216
OWN1331,INF568,5,0.396163042
OWN73,INF1775,2,0.047476649
OWN1711,INF1160,3,0.534492315
OWN1702,INF1689,3,0.704626542
OWN342,INF1396,3,0.066182928
OWN952,INF248,3,0.290368811
OWN1365,INF740,1,0.23430623
OWN310,INF408,1,0.989973548
OWN1290,INF1624,1,0.234979758
OWN1215,INF538,3,0.378758678
OWN1011,INF1690,3,0.473632151
OWN1089,INF799,5,0.123738622
OWN1476,INF937,3,0.824077707
OWN629,INF1069,2,0.767081175
OWN1680,INF154,5,0.249623447
OWN802,INF670,3,0.419735697
OWN475,INF801,4,0.875354471
OWN624,INF1479,4,0.439053493
OWN197,INF1093,2,0.742837288
OWN1047,INF1275,2,0.843820329
OWN1489,INF119,1,0.611846012
OWN943,INF1064,2,0.63952791
OWN190,INF682,5,0.893081178
OWN912,INF762,4,0.332214759
OWN37,INF1242,5,0.96156463
OWN1579,INF711,3,0.537719532
OWN507,INF891,2,0.088434713
OWN948,INF905,2,0.722253138
OWN1164,INF1594,1,0.180836195
OWN1750,INF1788,4,0.107971679
OWN1271,INF1029,4,0.592721573
OWN433,INF982,4,0.652510739
OWN38,INF1160,4,0.886512625
OWN416,INF1075,3,0.663636655
OWN100,INF983,3,0.525182621
OWN916,INF1586,3,0.079320798
OWN492,INF427,4,0.760518147
OWN519,INF1783,5,0.160313223
OWN1115,INF629,3,0.175828194
OWN917,INF500,2,0.377970756
OWN1339,INF1437,1,0.42553896
OWN1580,INF136,5,0.596596313
OWN1568,INF985,2,0.190923718
OWN1339,INF1028,3,0.349409542
OWN1289,INF441,4,0.507268095
OWN643,INF1523,2,0.583658527
OWN738,INF1043,4,0.695289632
OWN628,INF123,5,0.837085973
OWN1232,INF1500,5,0.696467797
OWN585,INF640,2,0.429397188
OWN1027,INF950,2,0.731573144
OWN658,INF1425,4,0.073578005
OWN737,INF1673,5,0.703214504
OWN1119,INF1273,3,0.8885445
OWN35,INF838,5,0.491375687
OWN359,INF580,5,0.322961049
OWN586,INF1217,1,0.356042083
OWN430,INF1446,2,0.067052715
OWN845,INF530,5,0.689096969
OWN1489,INF377,5,0.862403037
OWN1008,INF205,5,0.74030122
OWN1081,INF240,4,0.837229911
OWN828,INF1144,3,0.086582353
OWN1754,INF1253,2,0.855262866
OWN1293,INF141,5,0.19290392
OWN197,INF854,2,0.519516651
OWN704,INF1446,3,0.615137741
OWN1582,INF1477,1,0.208007705
OWN1427,INF895,1,0.174724106
OWN1175,INF523,4,0.517457142
OWN723,INF106,5,0.761201889
OWN1712,INF1172,1,0.074554274
OWN112,INF220,4,0.52727653
OWN763,INF1696,5,0.054332929
OWN1013,INF692,4,0.882943198
OWN315,INF1782,4,0.274177467
OWN1022,INF953,4,0.386897625
OWN306,INF54,1,0.153091642
OWN1240,INF1503,4,0.90727435
OWN1275,INF922,3,0.522919469
OWN1613,INF602,4,0.077504333
OWN1308,INF844,4,0.525616147
OWN1126,INF1731,2,0.420254599
OWN1673,INF1664,5,0.043471209
OWN310,INF1315,3,0.632107203
OWN1116,INF423,5,0.093045093
OWN374,INF521,3,0.508576576
OWN1203,INF988,2,0.814787085
OWN1658,INF514,3,0.203606951
OWN177,INF1772,3,0.445768734
OWN405,INF1542,2,0.835810469
OWN527,INF507,2,0.450233066
OWN603,INF1090,3,0.517004122
OWN327,INF352,3,0.669888279
OWN1130,INF1506,2,0.344305147
OWN1732,INF1486,3,0.451857272
OWN867,INF1533,5,0.688003837
OWN1557,INF1466,1,0.616341418
OWN1611,INF1386,1,0.662122761
OWN351,INF1362,3,0.37841129
OWN1340,INF674,3,0.187098776
OWN1483,INF1611,1,0.869560346
OWN1700,INF1133,1,0.764109328
OWN1142,INF1484,2,0.286039138
OWN393,INF1024,5,0.463565309
OWN1216,INF184,4,0.384442756
OWN459,INF41,5,0.687180791
OWN1710,INF1468,2,0.653090676
OWN1781,INF149,2,0.760408877
OWN252,INF808,2,0.003580486
OWN1517,INF1661,2,0.13213041
OWN758,INF164,2,0.884304463
OWN920,INF1229,4,0.949146863
OWN247,INF582,4,0.841104404
OWN1155,INF365,1,0.597739937
OWN1599,INF1586,2,0.404644461
OWN1294,INF1544,3,0.792418438
OWN437,INF138,3,0.825168239
OWN501,INF1153,3,0.287703703
OWN1150,INF723,1,0.299364447
OWN1132,INF1587,2,0.902762184
OWN1244,INF810,2,0.528008129
OWN1416,INF1357,1,0.406851022
OWN1191,INF1230,5,0.434412128
OWN111,INF699,5,0.807504384
OWN987,INF662,2,0.78067876
OWN1541,INF1144,4,0.62037931
OWN1655,INF457,4,7.52309E-05
OWN1312,INF1457,2,0.952552022
OWN916,INF952,1,0.468980885
OWN238,INF305,1,0.388286499
OWN257,INF1070,3,0.46080945
OWN1031,INF1470,3,0.181986393
OWN513,INF1334,1,0.337759316
OWN1587,INF1027,4,0.606917969
OWN1420,INF1063,1,0.965478841
OWN275,INF1420,5,0.215704401
OWN761,INF1440,2,0.592664272
OWN1490,INF1410,4,0.490520083
OWN15,INF199,5,0.37477676
OWN526,INF1298,5,0.9139567
OWN1722,INF520,5,0.581633235
OWN218,INF836,4,0.907918369
OWN624,INF213,5,0.196385544
OWN1141,INF783,3,0.665482879
OWN528,INF1157,2,0.862764477
OWN1173,INF783,2,0.452915735
OWN731,INF1495,5,0.883471934
OWN1080,INF1493,1,0.065045863
OWN433,INF806,4,0.520917397
OWN1208,INF498,1,0.371731904
OWN1017,INF1123,1,0.14840391
OWN699,INF58,3,0.15651895
OWN572,INF1642,5,0.682289034
OWN423,INF669,2,0.096782355
OWN583,INF1098,3,0.171114286
OWN52,INF1097,1,0.909280821
OWN1632,INF413,1,0.794379878
OWN995,INF217,5,0.543321384
OWN1718,INF261,5,0.840325039
OWN293,INF1558,2,0.268524866
OWN227,INF923,3,0.388176741
OWN743,INF407,3,0.513950474
OWN949,INF1234,2,0.455885512
OWN369,INF1696,4,0.074191528
OWN1535,INF1574,5,0.720043679
OWN1421,INF1712,5,0.52571983
OWN1050,INF1589,4,0.641766888
OWN1324,INF1658,5,0.378583083
OWN1270,INF396,3,0.902726876
OWN1132,INF1717,5,0.125527259
OWN428,INF1792,2,0.571794026
OWN986,INF875,5,0.209322377
OWN511,INF383,3,0.878042887
OWN305,INF1531,3,0.29174558
OWN1286,INF441,3,0.993985188
OWN885,INF1009,4,0.622168633
OWN930,INF242,1,0.858233837
OWN1094,INF45,2,0.833485788
OWN1567,INF27,1,0.954408975
OWN793,INF775,4,0.9673045
OWN1058,INF121,4,0.668637477
OWN1721,INF348,5,0.79363005
OWN1068,INF664,4,0.567757057
OWN1712,INF272,5,0.653060679
OWN529,INF503,5,0.761233689
OWN1406,INF437,2,0.737745277
OWN957,INF1287,3,0.659370132
OWN1687,INF1384,5,0.332645619
OWN1049,INF905,3,0.536793263
OWN423,INF649,4,0.468214229
OWN149,INF73,2,0.612243724
OWN889,INF1382,1,0.362299482
OWN765,INF341,1,0.01276896
OWN369,INF112,2,0.141398082
OWN123,INF1143,1,0.292579779
OWN574,INF553,3,0.583393227
OWN40,INF1411,4,0.804732799
OWN1101,INF1504,2,0.985370441
OWN349,INF1564,4,0.498738306
OWN1061,INF739,4,0.96634495
OWN1670,INF962,1,0.8510774
OWN1614,INF391,5,0.816740048
OWN1578,INF70,5,0.980983248
OWN1710,INF1708,5,0.420827587
OWN1084,INF458,3,0.303863818
OWN947,INF1329,1,0.337305239
OWN1376,INF167,1,0.713205331
OWN525,INF594,5,0.124593183
OWN646,INF234,1,0.53311156
OWN1601,INF8,5,0.7547603
OWN1498,INF1176,3,0.762843753
OWN636,INF200,1,0.052340878
OWN1656,INF1039,1,0.247491443
