id,insta_follower,tiktok,youtube,categories,price_category,avg_rating
1723,HIGH,HIGH,HIGH,"Category 8,Category 2",LOW,9.37
82,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 8,Category 6",MEDIUM,9.26
296,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",HIGH,9.25
127,HIGH,HIGH,HIGH,"Category 7,Category 6",MEDIUM,9.17
137,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",HIGH,9.16
1458,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,9.15
405,HIGH,HIGH,HIGH,"Category 1,Category 4",MEDIUM,9.13
2028,HIGH,HIGH,HIGH,"Category 6,Category 2",LOW,9.11
186,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",MEDIUM,9.1
188,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",HIGH,9.11
8,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",HIGH,9.06
6306,HIGH,HIGH,HIGH,"Category 4,Category 2",LOW,9.05
41,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",MEDIUM,9.04
62,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 2",LOW,8.98
293,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.93
19,HIGH,HIGH,HIGH,"Category 8,Category 4,Category 2",HIGH,8.93
977,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2",LOW,8.92
270,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",HIGH,8.88
164,HIGH,HIGH,HIGH,"Category 8,Category 5",MEDIUM,8.84
49,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 6",LOW,8.83
591,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.83
569,HIGH,HIGH,HIGH,"Category 1,Category 2",HIGH,8.83
12,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 1,Category 5,Category 6",HIGH,8.82
304,HIGH,HIGH,HIGH,"Category 4,Category 1,Category 5,Category 8,Category 6",MEDIUM,8.82
18,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4",LOW,8.81
782,HIGH,HIGH,HIGH,"Category 7,Category 2,Category 5,Category 8,Category 6",MEDIUM,8.81
422,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 2,Category 5",HIGH,8.8
247,HIGH,HIGH,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",MEDIUM,8.8
28,HIGH,HIGH,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",HIGH,8.78
367,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",MEDIUM,8.78
23,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.77
745,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.75
996,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",LOW,8.75
158,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",HIGH,8.75
27,HIGH,HIGH,HIGH,"Category 8,Category 4,Category 2",MEDIUM,8.74
865,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7",HIGH,8.73
5586,MEDIUM,MEDIUM,MEDIUM,"Category 8,Category 1,Category 7",LOW,8.73
384,HIGH,HIGH,HIGH,"Category 7,Category 1,Category 2",MEDIUM,8.72
165,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",MEDIUM,8.71
6,HIGH,HIGH,HIGH,"Category 8,Category 7",HIGH,8.71
2923,MEDIUM,HIGH,MEDIUM,Category 5,MEDIUM,8.69
1441,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 2,Category 5",MEDIUM,8.68
229,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.68
956,MEDIUM,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",HIGH,8.68
724,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7,Category 2",MEDIUM,8.68
145,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",LOW,8.67
972,HIGH,HIGH,HIGH,"Category 1,Category 3,Category 7",LOW,8.67
240,MEDIUM,HIGH,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",LOW,8.66
1320,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7",MEDIUM,8.65
792,HIGH,HIGH,HIGH,"Category 2,Category 7",HIGH,8.65
2566,MEDIUM,HIGH,HIGH,"Category 8,Category 5,Category 4,Category 6",LOW,8.64
2910,MEDIUM,HIGH,HIGH,"Category 8,Category 2,Category 5",HIGH,8.64
754,HIGH,HIGH,HIGH,"Category 1,Category 7,Category 2",LOW,8.64
1541,HIGH,HIGH,HIGH,"Category 8,Category 7,Category 2",LOW,8.64
726,HIGH,HIGH,HIGH,"Category 1,Category 4,Category 6",HIGH,8.64
84,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",HIGH,8.64
138,HIGH,HIGH,HIGH,"Category 8,Category 5,Category 2",MEDIUM,8.62
267,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",LOW,8.62
1121,HIGH,HIGH,HIGH,"Category 7,Category 6",LOW,8.61
148,HIGH,HIGH,HIGH,"Category 8,Category 2",LOW,8.61
287,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",MEDIUM,8.61
3301,MEDIUM,MEDIUM,MEDIUM,"Category 6,Category 1,Category 4,Category 5",HIGH,8.6
1316,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",LOW,8.6
1577,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 4,Category 5",LOW,8.59
441,HIGH,HIGH,HIGH,"Category 8,Category 6,Category 1,Category 7",MEDIUM,8.59
257,HIGH,HIGH,HIGH,"Category 6,Category 1,Category 7,Category 2",MEDIUM,8.59
1434,MEDIUM,HIGH,HIGH,"Category 1,Category 2",MEDIUM,8.59
2987,MEDIUM,HIGH,HIGH,"Category 6,Category 1,Category 5",MEDIUM,8.59
292,HIGH,HIGH,HIGH,"Category 8,Category 4",LOW,8.58
389,HIGH,HIGH,HIGH,"Category 1,Category 2",MEDIUM,8.58
209,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.58
1079,MEDIUM,MEDIUM,MEDIUM,"Category 3,Category 2,Category 5",LOW,8.58
1206,HIGH,HIGH,HIGH,"Category 1,Category 7,Category 6",LOW,8.57
742,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 2,Category 7",MEDIUM,8.57
939,MEDIUM,HIGH,MEDIUM,"Category 1,Category 6",MEDIUM,8.57
579,HIGH,HIGH,HIGH,"Category 3,Category 4,Category 2,Category 5",MEDIUM,8.56
142,HIGH,HIGH,HIGH,"Category 5,Category 2",HIGH,8.56
2798,MEDIUM,HIGH,HIGH,"Category 2,Category 6",MEDIUM,8.55
328,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 5",MEDIUM,8.55
39,HIGH,HIGH,HIGH,"Category 3,Category 2,Category 5",MEDIUM,8.55
678,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 7,Category 5",MEDIUM,8.54
985,MEDIUM,MEDIUM,HIGH,"Category 4,Category 7,Category 1,Category 5,Category 8",LOW,8.54
202,HIGH,HIGH,HIGH,"Category 8,Category 1,Category 4,Category 2",LOW,8.54
139,HIGH,HIGH,HIGH,"Category 4,Category 2,Category 5",HIGH,8.53
1086,MEDIUM,HIGH,HIGH,"Category 3,Category 2,Category 5",HIGH,8.53
3110,MEDIUM,HIGH,MEDIUM,"Category 9,Category 2,Category 5",HIGH,8.53
540,HIGH,HIGH,HIGH,"Category 1,Category 6",MEDIUM,8.53
