id,insta_follower,tiktok,youtube,categories,price_category
1723,HIGH,HIGH,HIGH,"Drama,Romance,School,Supernatural",HIGH
82,HIGH,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Shounen",HIGH
296,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH
127,HIGH,HIGH,HIGH,Sci-Fi,HIGH
137,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH
1458,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH
405,HIGH,HIGH,HIGH,"Action,Adventure,Shounen",HIGH
2028,HIGH,HIGH,HIGH,"Drama,Sci-Fi",HIGH
186,MEDIUM,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH
188,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH
8,HIGH,HIGH,HIGH,"Drama,Fantasy,Romance,Supernatural",HIGH
6306,HIGH,HIGH,HIGH,"Drama,School,Shounen",HIGH
41,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH
62,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH
293,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH
19,HIGH,HIGH,HIGH,"Adventure,Drama,Supernatural",HIGH
977,HIGH,HIGH,HIGH,"Drama,Romance,School,Shounen",HIGH
270,MEDIUM,HIGH,HIGH,"Adventure,Fantasy,Supernatural",HIGH
164,HIGH,HIGH,HIGH,Fantasy,HIGH
49,HIGH,HIGH,HIGH,"Action,School,Sci-Fi",HIGH
591,HIGH,HIGH,HIGH,"Comedy,Drama,Shounen",HIGH
569,HIGH,HIGH,HIGH,"Action,Drama,Romance",HIGH
12,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Drama,Sci-Fi",HIGH
304,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Supernatural",HIGH
18,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy",HIGH
782,HIGH,HIGH,HIGH,"Comedy,Romance,School,Sci-Fi,Supernatural",HIGH
422,HIGH,HIGH,HIGH,"Comedy,Romance,Supernatural",HIGH
247,HIGH,HIGH,HIGH,"Adventure,Fantasy,Supernatural",HIGH
28,HIGH,HIGH,HIGH,"Adventure,Fantasy,Supernatural",HIGH
367,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Sci-Fi",HIGH
23,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH
745,HIGH,HIGH,HIGH,"Comedy,Drama,Shounen",HIGH
996,MEDIUM,HIGH,HIGH,"Adventure,Fantasy,Supernatural",HIGH
158,HIGH,HIGH,HIGH,"Drama,Fantasy,Supernatural",HIGH
27,HIGH,HIGH,HIGH,"Adventure,Drama,Fantasy,Romance",HIGH
865,HIGH,HIGH,HIGH,"Action,Fantasy,Supernatural",HIGH
5586,MEDIUM,HIGH,HIGH,"Action,Supernatural",HIGH
384,HIGH,HIGH,HIGH,Drama,HIGH
165,HIGH,HIGH,HIGH,"Comedy,Drama,Romance,Shounen",HIGH
6,HIGH,HIGH,HIGH,Supernatural,HIGH
2923,MEDIUM,MEDIUM,MEDIUM,Comedy,MEDIUM
1441,HIGH,HIGH,HIGH,"Action,Comedy,School,Shounen",HIGH
229,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH
956,MEDIUM,HIGH,HIGH,"Comedy,Drama,Shounen",HIGH
724,HIGH,HIGH,HIGH,"Action,Drama,Romance,Supernatural",HIGH
145,HIGH,HIGH,HIGH,"Drama,Fantasy,Supernatural",HIGH
240,MEDIUM,HIGH,HIGH,"Adventure,Fantasy,Supernatural",HIGH
1320,HIGH,HIGH,HIGH,Supernatural,HIGH
792,HIGH,HIGH,HIGH,Romance,HIGH
2566,MEDIUM,HIGH,HIGH,"Fantasy,Sci-Fi,Shounen",HIGH
2910,MEDIUM,HIGH,HIGH,"Comedy,Fantasy,Supernatural",MEDIUM
754,HIGH,HIGH,HIGH,Drama,HIGH
1541,HIGH,HIGH,HIGH,"Drama,Fantasy",HIGH
726,HIGH,HIGH,HIGH,"Action,Sci-Fi",HIGH
84,HIGH,HIGH,HIGH,"Drama,Fantasy,Supernatural",HIGH
138,HIGH,HIGH,HIGH,"Drama,Supernatural",HIGH
267,HIGH,HIGH,HIGH,"Comedy,School,Shounen",HIGH
