id,insta_follower,tiktok,youtube,categories,price_category
1723,200630,197187,195951,"Drama,Romance,School,Supernatural",HIGH
82,793665,706740,824552,"Action,Adventure,Drama,Fantasy,Shounen",HIGH
296,114262,108897,81740,"Action,Comedy,Sci-Fi,Shounen",HIGH
127,673572,616509,786151,Sci-Fi,HIGH
137,151266,137612,70558,"Action,Comedy,Sci-Fi,Shounen",HIGH
1458,93351,103866,93891,"Comedy,Drama,School,Shounen",HIGH
405,425855,247639,320379,"Action,Adventure,Shounen",HIGH
2028,80679,82249,43379,"Drama,Sci-Fi",HIGH
186,72534,86065,63058,"Action,Comedy,Sci-Fi,Shounen",HIGH
188,81109,68436,36022,"Action,Comedy,Sci-Fi,Shounen",HIGH
8,456749,577676,631353,"Drama,Fantasy,Romance,Supernatural",HIGH
6306,102733,57606,57326,"Drama,School,Shounen",HIGH
41,336376,401074,288892,"Action,Comedy,Sci-Fi,Shounen",HIGH
62,572888,382151,217539,"Action,Drama,Sci-Fi",HIGH
293,179342,173129,211391,"Comedy,Drama,School,Shounen",HIGH
19,466254,492317,432339,"Adventure,Drama,Supernatural",HIGH
977,416397,323457,258049,"Drama,Romance,School,Shounen",HIGH
270,75894,41027,26980,"Adventure,Fantasy,Supernatural",HIGH
164,226193,173870,178621,Fantasy,HIGH
49,715151,403211,271526,"Action,School,Sci-Fi",HIGH
591,157670,201611,244996,"Comedy,Drama,Shounen",HIGH
569,129307,114326,103582,"Action,Drama,Romance",HIGH
12,486824,580663,540165,"Action,Adventure,Comedy,Drama,Sci-Fi",HIGH
304,552458,488692,374701,"Action,Comedy,Sci-Fi,Supernatural",HIGH
18,339556,244656,252898,"Action,Adventure,Fantasy",HIGH
782,240297,271993,186581,"Comedy,Romance,School,Sci-Fi,Supernatural",HIGH
422,205959,199653,143655,"Comedy,Romance,Supernatural",HIGH
247,101351,68716,39192,"Adventure,Fantasy,Supernatural",HIGH
28,300030,153376,101983,"Adventure,Fantasy,Supernatural",HIGH
367,562962,332661,207292,"Action,Adventure,Comedy,Sci-Fi",HIGH
23,268487,193502,184580,"Comedy,Drama,School,Shounen",HIGH
745,88995,71543,56444,"Comedy,Drama,Shounen",HIGH
996,32266,37212,31417,"Adventure,Fantasy,Supernatural",HIGH
158,98431,80265,59713,"Drama,Fantasy,Supernatural",HIGH
27,333186,315475,365433,"Adventure,Drama,Fantasy,Romance",HIGH
865,340973,282300,203304,"Action,Fantasy,Supernatural",HIGH
5586,34347,31210,36995,"Action,Supernatural",HIGH
384,247562,164288,179754,Drama,HIGH
165,133620,100958,84454,"Comedy,Drama,Romance,Shounen",HIGH
6,1013917,1151584,593307,Supernatural,HIGH
2923,16947,8712,6523,Comedy,MEDIUM
1441,176475,101188,89422,"Action,Comedy,School,Shounen",HIGH
229,284498,309008,380272,"Comedy,Drama,School,Shounen",HIGH
956,66756,36078,39839,"Comedy,Drama,Shounen",HIGH
724,111074,69018,85663,"Action,Drama,Romance,Supernatural",HIGH
145,102322,83575,54190,"Drama,Fantasy,Supernatural",HIGH
240,49036,51598,31067,"Adventure,Fantasy,Supernatural",HIGH
1320,402381,455174,516582,Supernatural,HIGH
792,122531,119188,70448,Romance,HIGH
2566,56162,47687,34754,"Fantasy,Sci-Fi,Shounen",HIGH
2910,33422,38975,38071,"Comedy,Fantasy,Supernatural",MEDIUM
754,139474,124853,104398,Drama,HIGH
1541,355839,376675,221581,"Drama,Fantasy",HIGH
726,82253,94573,110777,"Action,Sci-Fi",HIGH
84,114173,95709,78354,"Drama,Fantasy,Supernatural",HIGH
138,463835,537988,600178,"Drama,Supernatural",HIGH
267,184525,235771,225098,"Comedy,School,Shounen",HIGH
1121,192424,176671,178852,Sci-Fi,HIGH
148,197439,197158,221928,"Drama,Romance,Supernatural",HIGH
287,348951,337545,334733,"School,Shounen",HIGH
3301,11104,12328,9272,"Action,Comedy,Sci-Fi,Shounen",MEDIUM
1316,93657,102838,56040,"Action,Adventure,Drama,Shounen,Supernatural",HIGH
1577,51185,47060,39418,"Action,Comedy,Sci-Fi,Shounen",HIGH
441,297454,171750,215403,"Action,Supernatural",HIGH
257,425457,326346,343404,"Action,Drama,Sci-Fi",HIGH
1434,71295,78576,63746,Drama,HIGH
2987,72958,58407,63537,"Comedy,Sci-Fi",HIGH
292,80825,42815,43387,"Adventure,Supernatural",HIGH
389,174878,100458,109066,Drama,HIGH
209,243325,145184,74321,"Comedy,School,Shounen",HIGH
1079,28653,35653,23947,"Comedy,Drama,Romance",MEDIUM
1206,113993,125457,88180,"Action,Sci-Fi",HIGH
742,95658,92162,78145,"Action,Romance,Supernatural",HIGH
939,31234,23703,13646,Action,MEDIUM
579,82570,41419,38266,"Comedy,Drama,School,Shounen",HIGH
2798,25641,13283,11632,School,MEDIUM
328,193716,197531,115074,"Action,Comedy,Supernatural",HIGH
39,197256,138314,97027,"Comedy,Drama,Romance",HIGH
678,363215,185394,215036,"Action,Comedy,Supernatural",HIGH
985,34011,22102,28181,"Adventure,Fantasy,Supernatural",MEDIUM
202,896229,682314,360394,"Action,Drama,Fantasy,Shounen",HIGH
