id,insta_follower,tiktok,youtube,categories,avg_rating,pricing_LOW,pricing_BELOW_AVG,pricing_AVG,pricing_ABOVE_AVG,pricing_HIGH
1723,6018900,8078640,15046770,"Category 8,Category 2",9.37,0,0,1,1,1
82,23809950,35177250,44279670,"Category 4,Category 2,Category 1,Category 8,Category 6",9.26,0,0,1,1,1
296,3427860,5198670,5264340,"Category 6,Category 1,Category 4,Category 5",9.25,0,0,1,1,0
127,20207160,38229630,74752350,"Category 7,Category 6",9.17,0,0,1,1,1
137,4537980,8215080,13298910,"Category 6,Category 1,Category 4,Category 5",9.16,0,0,1,1,1
1458,2800530,4403160,4502190,"Category 3,Category 4,Category 2,Category 5",9.15,0,0,1,0,0
405,12775650,23363280,37887690,"Category 1,Category 4",9.13,0,0,1,1,1
2028,2420370,3322140,4337730,"Category 6,Category 2",9.11,0,0,1,0,0
186,2176020,3730350,5233650,"Category 6,Category 1,Category 4,Category 5",9.1,0,0,1,0,0
188,2433270,4113480,3819780,"Category 6,Category 1,Category 4,Category 5",9.11,0,0,1,0,0
8,13702470,14897310,27420060,"Category 8,Category 5,Category 2",9.06,0,0,1,1,1
41,10091280,17465400,28718160,"Category 6,Category 1,Category 4,Category 5",9.04,0,0,1,1,1
62,17186640,29645280,46560390,"Category 6,Category 1,Category 4,Category 2",8.98,0,0,1,1,1
293,5380260,7217370,6698010,"Category 3,Category 4,Category 2,Category 5",8.93,0,0,1,1,1
19,13987620,26867190,37575780,"Category 8,Category 4,Category 2",8.93,0,0,1,1,1
977,12491910,17356440,32786280,"Category 3,Category 4,Category 2",8.92,0,0,1,1,1
270,2276820,3763860,3928350,"Category 4,Category 7,Category 1,Category 5,Category 8",8.88,0,0,1,0,0
164,6785790,12070290,16396740,"Category 8,Category 5",8.84,0,0,1,1,1
49,21454530,36888360,58656780,"Category 1,Category 4,Category 2,Category 6",8.83,0,0,1,1,1
591,4730100,6839940,11363010,"Category 3,Category 4,Category 2,Category 5",8.83,0,0,1,1,1
569,3879210,3433350,4342980,"Category 1,Category 2",8.83,0,0,1,0,0
12,14604720,27162660,47011350,"Category 4,Category 2,Category 1,Category 5,Category 6",8.82,0,0,1,1,1
304,16573740,31612230,60182250,"Category 4,Category 1,Category 5,Category 8,Category 6",8.82,0,0,1,1,1
18,10186680,10636800,15215250,"Category 8,Category 1,Category 4",8.81,0,0,1,1,1
782,7208910,7189950,14236290,"Category 7,Category 2,Category 5,Category 8,Category 6",8.81,0,0,1,1,1
422,6178770,5344890,5622900,"Category 8,Category 7,Category 2,Category 5",8.8,0,0,1,1,1
247,3040530,4774380,5345010,"Category 4,Category 7,Category 1,Category 5,Category 8",8.8,0,0,1,1,0
28,9000900,17513940,29542980,"Category 4,Category 7,Category 1,Category 5,Category 8",8.78,0,0,1,1,1
367,16888860,23683980,39401010,"Category 6,Category 1,Category 4,Category 5",8.78,0,0,1,1,1
23,8054610,13827630,16634310,"Category 4,Category 2,Category 5",8.77,0,0,1,1,1
745,2669850,2691000,3632670,"Category 3,Category 4,Category 2,Category 5",8.75,0,0,1,0,0
996,967980,1911780,3644340,"Category 4,Category 7,Category 1,Category 5,Category 8",8.75,0,0,1,0,0
158,2952930,3746130,4279380,"Category 8,Category 5,Category 2",8.75,0,0,1,0,0
27,9995580,13869930,26588130,"Category 8,Category 4,Category 2",8.74,0,0,1,1,1
865,10229190,14125890,11830770,"Category 8,Category 1,Category 7",8.73,0,0,1,1,1
384,7426860,9730230,10175730,"Category 7,Category 1,Category 2",8.72,0,0,1,1,1
165,4008600,5107050,7075350,"Category 4,Category 2,Category 5",8.71,0,0,1,1,0
6,30417510,25291710,33800580,"Category 8,Category 7",8.71,0,0,1,1,1
1441,5294250,7121610,13349010,"Category 1,Category 4,Category 2,Category 5",8.68,0,0,1,1,1
229,8534940,14897580,25577190,"Category 3,Category 4,Category 2,Category 5",8.68,0,0,1,1,1
956,2002680,3178830,2938800,"Category 3,Category 4,Category 2,Category 5",8.68,0,0,1,0,0
724,3332220,4071810,3681750,"Category 8,Category 1,Category 7,Category 2",8.68,0,0,1,0,0
145,3069660,3564780,5213340,"Category 8,Category 5,Category 2",8.67,0,0,1,0,0
972,2915610,5159490,9772770,"Category 1,Category 3,Category 7",8.67,0,0,1,1,1
240,1471080,2583180,2709810,"Category 4,Category 7,Category 1,Category 5,Category 8",8.66,0,0,1,0,0
1320,12071430,11853570,13212000,"Category 8,Category 1,Category 7",8.65,0,0,1,1,1
792,3675930,6537240,9283020,"Category 2,Category 7",8.65,0,0,1,1,1
2566,1684860,1883550,2521890,"Category 8,Category 5,Category 4,Category 6",8.64,0,0,1,0,0
2910,1002660,842280,1380150,"Category 8,Category 2,Category 5",8.64,0,0,0,0,0
754,4184220,7583310,6648210,"Category 1,Category 7,Category 2",8.64,0,0,1,1,1
1541,10675170,12224970,11815560,"Category 8,Category 7,Category 2",8.64,0,0,1,1,1
726,2467590,2611350,2358030,"Category 1,Category 4,Category 6",8.64,0,0,1,0,0
84,3425190,6513960,7235130,"Category 8,Category 5,Category 2",8.64,0,0,1,1,1
138,13915050,22326720,35378340,"Category 8,Category 5,Category 2",8.62,0,0,1,1,1
267,5535750,7988220,12583290,"Category 3,Category 4,Category 2,Category 5",8.62,0,0,1,1,1
1121,5772720,8166960,9565860,"Category 7,Category 6",8.61,0,0,1,1,1
148,5923170,5719080,4812060,"Category 8,Category 2",8.61,0,0,1,1,0
287,10468530,13002810,15886650,"Category 4,Category 2,Category 5",8.61,0,0,1,1,1
3301,333120,523620,654570,"Category 6,Category 1,Category 4,Category 5",8.6,1,1,0,0,0
1316,2809710,4026990,4143990,"Category 8,Category 1,Category 4,Category 2",8.6,0,0,1,0,0
1577,1535550,2715330,4771740,"Category 6,Category 1,Category 4,Category 5",8.59,0,0,1,0,0
441,8923620,14514330,12621180,"Category 8,Category 6,Category 1,Category 7",8.59,0,0,1,1,1
257,12763710,15650790,29157870,"Category 6,Category 1,Category 7,Category 2",8.59,0,0,1,1,1
1434,2138850,1727100,3288390,"Category 1,Category 2",8.59,0,0,1,0,0
2987,2188740,3463170,3112260,"Category 6,Category 1,Category 5",8.59,0,0,1,0,0
292,2424750,4428510,8802630,"Category 8,Category 4",8.58,0,0,1,1,0
389,5246340,4912530,9667500,"Category 1,Category 2",8.58,0,0,1,1,1
209,7299750,12439050,11169420,"Category 3,Category 4,Category 2,Category 5",8.58,0,0,1,1,1
1079,859590,1659780,1686150,"Category 3,Category 2,Category 5",8.58,0,0,0,0,0
1206,3419790,4522920,5377020,"Category 1,Category 7,Category 6",8.57,0,0,1,1,0
742,2869740,3025800,3938550,"Category 8,Category 1,Category 2,Category 7",8.57,0,0,1,0,0
939,937020,1489530,2791920,"Category 1,Category 6",8.57,0,0,1,0,0
579,2477100,3404640,6409650,"Category 3,Category 4,Category 2,Category 5",8.56,0,0,1,0,0
142,5845650,9417390,15309000,"Category 5,Category 2",8.56,0,0,1,1,1
2798,769230,840060,1491360,"Category 2,Category 6",8.55,0,1,0,0,0
328,5811480,6580920,8975730,"Category 8,Category 1,Category 5",8.55,0,0,1,1,1
