own_id,inf_id,star_rating,sentiment_rating
2,12,5,1
2,13,4,0.71
2,14,4,0.71
2,15,4,0.69
2,16,4,0.87
2,17,4,0.77
2,18,5,0.98
2,19,5,0.92
2,20,5,0.95
2,21,3,0.65
2,22,5,1
2,23,5,1
2,24,5,1
2,25,4,0.88
2,26,2,0.47
2,27,5,1
2,28,5,0.97
2,29,5,0.94
2,30,5,1
2,31,5,1
2,32,5,1
2,33,3,0.63
2,34,5,0.94
2,35,5,0.96
2,36,5,0.98
2,37,5,0.91
2,38,5,0.91
2,39,5,0.97
2,40,4,0.65
2,41,5,0.96
2,42,4,0.88
2,43,4,0.85
2,44,5,1
2,45,4,0.76
2,46,4,0.86
2,5,4,0.83
2,47,5,0.93
2,48,2,0.4
2,6,5,0.99
2,49,5,0.97
2,50,5,0.99
2,51,4,0.87
2,52,5,0.96
2,53,4,0.76
2,54,5,1
2,56,4,0.78
2,7,5,0.85
2,57,4,0.7
2,58,4,0.64
2,59,4,0.7
2,60,5,0.93
2,61,5,0.94
2,62,5,1
2,63,5,0.92
2,64,4,0.72
2,65,5,0.9
2,66,4,0.75
2,67,5,1
2,68,5,0.92
2,69,5,0.86
2,70,5,0.92
2,71,5,0.96
2,72,5,0.89
2,73,3,0.57
2,74,5,1
2,75,3,0.59
2,8,4,0.79
2,76,4,0.74
2,77,5,0.97
2,78,4,0.78
2,79,5,0.92
2,80,5,0.98
2,81,5,1
2,82,5,0.91
2,83,3,0.45
2,84,5,1
2,85,5,1
2,86,4,0.77
2,87,5,0.9
2,88,4,0.66
2,89,5,1
2,90,5,0.81
2,91,5,0.97
2,92,5,0.99
2,93,4,0.9
2,94,3,0.56
2,95,4,0.63
2,96,5,0.96
2,97,4,0.82
2,98,4,0.64
2,99,4,0.83
2,100,2,0.29
2,101,5,0.9
2,102,5,0.84
2,103,5,0.96
2,104,5,0.98
2,105,5,0.97
2,106,4,0.88
2,107,4,0.75
2,108,5,0.94
2,109,4,0.79
2,110,3,0.65
2,111,4,0.88
2,112,4,0.85
2,113,4,0.68
2,114,5,0.99
2,115,5,1
2,116,5,1
2,117,3,0.49
2,118,5,1
2,119,5,0.8
2,120,4,0.73
2,121,4,0.67
2,122,5,0.92
2,123,4,0.78
2,124,4,0.69
2,125,5,1
2,126,5,0.97
2,127,5,0.83
2,128,5,0.97
2,129,3,0.67
2,130,5,1
2,131,4,0.86
2,132,5,0.94
2,133,5,1
2,134,5,0.93
2,135,4,0.73
2,136,4,0.79
2,137,5,1
2,138,5,0.84
2,139,5,1
2,140,5,1
2,141,5,0.95
2,142,5,0.82
2,143,3,0.56
2,144,3,0.51
2,145,5,1
2,146,4,0.76
2,147,4,0.82
2,148,5,0.98
2,149,4,0.77
2,150,5,0.9
2,151,5,0.95
2,152,5,1
2,153,5,0.81
2,154,4,0.7
2,155,5,0.84
2,156,5,1
2,157,4,0.8
2,158,5,0.99
2,159,4,0.81
2,160,4,0.89
2,161,5,1
2,162,5,0.85
2,163,5,0.85
2,164,5,0.9
2,165,5,0.97
2,166,5,0.94
2,167,3,0.6
2,168,4,0.79
2,169,3,0.6
2,170,5,0.82
2,172,4,0.87
2,173,5,0.98
2,174,5,0.93
2,175,5,0.82
2,176,5,1
2,177,5,1
2,178,5,0.97
2,179,5,0.98
2,180,5,0.96
2,181,5,0.97
2,182,5,0.96
2,183,5,1
2,184,5,0.97
2,185,4,0.62
2,186,5,1
2,187,5,0.94
2,188,5,1
2,189,4,0.87
2,190,4,0.68
2,191,4,0.71
2,192,5,0.95
2,193,5,0.98
2,194,5,0.95
2,195,5,1
2,196,5,0.91
2,197,5,1
2,198,4,0.63
2,199,4,0.64
2,200,5,1
2,201,4,0.74
2,202,5,1
2,203,5,1
2,204,4,0.71
2,205,5,0.92
2,206,5,0.82
2,207,5,0.97
2,208,4,0.73
2,209,4,0.66
2,210,4,0.85
2,211,5,1
2,212,4,0.77
2,213,3,0.67
2,214,5,0.82
2,215,5,0.86
2,216,5,1
2,217,5,1
2,218,4,0.88
2,219,3,0.65
2,220,4,0.79
2,221,5,0.96
2,222,5,0.9
2,223,5,0.99
2,224,5,0.81
2,225,3,0.63
2,226,4,0.84
2,227,5,1
2,228,5,0.98
2,229,5,0.95
2,230,4,0.83
2,231,4,0.81
2,232,5,1
2,233,5,0.94
2,234,4,0.61
2,235,4,0.7
2,236,5,0.87
2,237,3,0.64
2,238,4,0.78
2,239,5,0.85
2,240,5,0.94
2,241,4,0.89
2,242,3,0.55
2,243,4,0.88
2,244,4,0.77
2,245,5,0.93
2,246,4,0.87
2,247,5,0.84
2,248,5,0.87
2,249,4,0.65
2,250,5,0.98
2,251,5,0.84
2,252,5,0.92
2,253,5,0.9
2,254,4,0.76
2,255,5,1
2,256,4,0.89
2,257,4,0.76
2,258,4,0.75
2,259,5,0.97
2,260,5,0.97
2,261,5,0.9
2,262,4,0.63
2,263,4,0.89
2,264,4,0.85
2,265,5,0.98
2,266,5,0.96
2,267,5,0.92
2,268,4,0.72
2,269,4,0.79
2,270,5,0.81
2,271,3,0.44
2,272,5,0.88
2,273,5,0.84
2,274,2,0.32
