id,insta_follower,tiktok,youtube,categories,price_category,avg_rating
1723,HIGH,HIGH,HIGH,"Drama,Romance,School,Supernatural",HIGH,5
82,HIGH,HIGH,HIGH,"Action,Adventure,Drama,Fantasy,Shounen",HIGH,4.940298507
296,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH,4.934871099
127,HIGH,HIGH,HIGH,Sci-Fi,HIGH,4.891451832
137,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH,4.886024423
1458,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH,4.880597015
405,HIGH,HIGH,HIGH,"Action,Adventure,Shounen",HIGH,4.869742198
2028,HIGH,HIGH,HIGH,"Drama,Sci-Fi",HIGH,4.858887381
186,MEDIUM,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH,4.853459973
188,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH,4.858887381
8,HIGH,HIGH,HIGH,"Drama,Fantasy,Romance,Supernatural",HIGH,4.831750339
6306,HIGH,HIGH,HIGH,"Drama,School,Shounen",HIGH,4.826322931
41,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Shounen",HIGH,4.820895522
62,HIGH,HIGH,HIGH,"Action,Drama,Sci-Fi",HIGH,4.788331072
293,HIGH,HIGH,HIGH,"Comedy,Drama,School,Shounen",HIGH,4.76119403
19,HIGH,HIGH,HIGH,"Adventure,Drama,Supernatural",HIGH,4.76119403
977,HIGH,HIGH,HIGH,"Drama,Romance,School,Shounen",HIGH,4.755766621
270,MEDIUM,HIGH,HIGH,"Adventure,Fantasy,Supernatural",HIGH,4.734056988
164,HIGH,HIGH,HIGH,Fantasy,HIGH,4.712347354
49,HIGH,HIGH,HIGH,"Action,School,Sci-Fi",HIGH,4.706919946
591,HIGH,HIGH,HIGH,"Comedy,Drama,Shounen",HIGH,4.706919946
569,HIGH,HIGH,HIGH,"Action,Drama,Romance",HIGH,4.706919946
12,HIGH,HIGH,HIGH,"Action,Adventure,Comedy,Drama,Sci-Fi",HIGH,4.701492537
304,HIGH,HIGH,HIGH,"Action,Comedy,Sci-Fi,Supernatural",HIGH,4.701492537
18,HIGH,HIGH,HIGH,"Action,Adventure,Fantasy",HIGH,4.696065129
782,HIGH,HIGH,HIGH,"Comedy,Romance,School,Sci-Fi,Supernatural",HIGH,4.696065129
